Año	Grupo Antigüedad	Nº Accidentes	Ord_Temporalidad	Temporalidad	Código	Municipio
2020	De 37 meses a 10 años	4	3	Sin clasificar	50089	Cuarte de Huerva
2020	De 37 meses a 10 años	38	1	Indefinido	50095	Ejea de los Caballeros
2020	De 37 meses a 10 años	2	2	Temporal	50095	Ejea de los Caballeros
2020	De 37 meses a 10 años	8	3	Sin clasificar	50095	Ejea de los Caballeros
2020	De 37 meses a 10 años	3	1	Indefinido	50163	María de Huerva
2020	De 37 meses a 10 años	1	2	Temporal	50163	María de Huerva
2020	De 37 meses a 10 años	49	1	Indefinido	50182	Muela (La)
2020	De 37 meses a 10 años	3	2	Temporal	50182	Muela (La)
2020	De 37 meses a 10 años	2	3	Sin clasificar	50182	Muela (La)
2020	De 37 meses a 10 años	38	1	Indefinido	50219	Puebla de Alfindén (La)
2020	De 37 meses a 10 años	2	2	Temporal	50219	Puebla de Alfindén (La)
2020	De 37 meses a 10 años	4	3	Sin clasificar	50219	Puebla de Alfindén (La)
2020	De 37 meses a 10 años	9	1	Indefinido	50251	Tarazona
2020	De 37 meses a 10 años	2	2	Temporal	50251	Tarazona
2020	De 37 meses a 10 años	1	3	Sin clasificar	50251	Tarazona
2020	De 37 meses a 10 años	22	1	Indefinido	50252	Tauste
2020	De 37 meses a 10 años	3	2	Temporal	50252	Tauste
2020	De 37 meses a 10 años	1	3	Sin clasificar	50252	Tauste
2020	De 37 meses a 10 años	36	1	Indefinido	50272	Utebo
2020	De 37 meses a 10 años	1	3	Sin clasificar	50272	Utebo
2020	De 37 meses a 10 años	1122	1	Indefinido	50297	Zaragoza
2020	De 37 meses a 10 años	146	2	Temporal	50297	Zaragoza
2020	De 37 meses a 10 años	83	3	Sin clasificar	50297	Zaragoza
2020	De 37 meses a 10 años	19	1	Indefinido	50298	Zuera
2020	De 37 meses a 10 años	2	2	Temporal	50298	Zuera
2020	De 37 meses a 10 años	3	3	Sin clasificar	50298	Zuera
2020	Más de 10 años	33	1	Indefinido	22048	Barbastro
2020	Más de 10 años	2	2	Temporal	22048	Barbastro
2020	Más de 10 años	5	3	Sin clasificar	22048	Barbastro
2020	Más de 10 años	42	1	Indefinido	22061	Binéfar
2020	Más de 10 años	2	2	Temporal	22061	Binéfar
2020	Más de 10 años	6	3	Sin clasificar	22061	Binéfar
2020	Más de 10 años	46	1	Indefinido	22112	Fraga
2020	Más de 10 años	2	2	Temporal	22112	Fraga
2020	Más de 10 años	4	3	Sin clasificar	22112	Fraga
