Municipio código	Municipio nombre	Explotaciones	Superficie total	SAU	Superficie tierras labradas
22907	Aínsa-Sobrarbe	133	10416	6728,36	3287,77
22908	Hoz y Costeán	98	4818,17	3835,33	3312,68
22909	Vencillón	70	983,08	949,72	730,2
44001	Ababuj	21	5139,26	2820,4	2373,13
44002	Abejuela	11	7051,38	1132,61	144,61
44003	Aguatón	9	2189,36	1225,87	722,62
44004	Aguaviva	42	1160,76	1020,96	901,7
44005	Aguilar del Alfambra	21	1321,08	1320,88	1125,49
44006	Alacón	70	2729,28	2667,72	2056,78
44007	Alba	63	3227,99	2960,43	2351,33
44008	Albalate del Arzobispo	337	19540,22	11607,31	8776,68
44009	Albarracín	55	9187,45	6401,46	3085,3
44010	Albentosa	53	2894,88	1995,17	1191,61
44011	Alcaine	9	4636,76	3853,36	347,29
44012	Alcalá de la Selva	36	6588,94	2874,72	729,32
44013	Alcañiz	620	29950,31	29378,95	18248,81
44014	Alcorisa	352	7554,56	7180	6700,35
44016	Alfambra	113	8424,09	7125,86	5782,51
44017	Aliaga	53	15374,04	8692,93	1683,85
44018	Almohaja	6	2490,99	1500,61	497,04
44019	Alobras	12	2360,48	1537,31	409,35
44020	Alpeñés	12	2658,15	2400,49	778,34
44021	Allepuz	42	4359,44	3040,51	915,59
44022	Alloza	213	6066,61	3989,17	2663,57
44023	Allueva	1	163,74	163,74	163,74
44024	Anadón	5	1405,52	1073,12	395,93
44025	Andorra	265	9565,32	9345,46	8430,36
44026	Arcos de las Salinas	13	9932,71	6708,85	146,5
44027	Arens de Lledó	62	1236,26	772,36	754,23
44028	Argente	68	5533,83	5301,15	3789,07
44029	Ariño	39	774,69	752,17	749,21
44031	Azaila	38	6393,79	5571,9	4554,8
44032	Bádenas	8	471,84	437,41	422,98
44033	Báguena	113	1262,87	1009,43	931,26
44034	Bañón	41	4896,57	3606,01	2684,38
44035	Barrachina	18	2244,27	1162,27	764,32
44036	Bea	5	1214,24	1113,09	788,08
44037	Beceite	60	2618,46	1242,07	635,25
44038	Belmonte de San José	48	716,4	442,46	362,34
44039	Bello	86	4178,31	4072,09	3726,65
44040	Berge	45	2107,48	2042,08	620,9
44041	Bezas	3	2095,67	654,97	173,49
44042	Blancas	41	5056,86	4989,56	3910,79
44043	Blesa	28	3219,87	2841,72	2676,17
44044	Bordón	22	2390,1	1998,19	304,61
44045	Bronchales	15	4106,6	2549,76	954,69
44046	Bueña	23	1866,58	1502,53	1223,68
44047	Burbáguena	65	3066,88	1730,17	986,78
44048	Cabra de Mora	14	728,5	366,4	199,24
44049	Calaceite	242	4985,92	3663,14	3407,35
44050	Calamocha	297	21911,36	19573,96	12255,48
44051	Calanda	324	8508,19	6414,79	6255,61
44052	Calomarde	8	2541,25	2326,59	252,39
44053	Camañas	36	5626,46	4503,71	3394,19
44054	Camarena de la Sierra	7	7830,55	4252,57	75,29
44055	Camarillas	26	4650,42	2904,12	2196,16
44056	Caminreal	131	3687,42	3532,53	2380,43
44059	Cantavieja	80	10343,55	8501,37	1026,49
44060	Cañada de Benatanduz	17	2833,3	1781,5	370,26
44061	Cañada de Verich (La)	8	84,82	69,02	66,27
44062	Cañada Vellida	22	2086,22	1877,92	819,34
44063	Cañizar del Olivar	9	431,2	58,9	58,9
44064	Cascante del Río	15	2123,15	1617,56	181,57
44065	Castejón de Tornos	24	1432,79	1417,74	1386,91
44066	Castel de Cabra	13	1048,93	951,44	248,17
44067	Castelnou	21	3285,88	3267,42	2582,31
44068	Castelserás	83	1471,63	1464	1117,78
44070	Castellar (El)	19	3985,97	1140,1	311,01
44071	Castellote	157	14290,22	5697,72	2260,6
44074	Cedrillas	79	6699,66	4229,46	1915,82
44075	Celadas	99	8892,15	8407,94	6165,8
44076	Cella	280	10348,16	9382,79	7317,48
44077	Cerollera (La)	10	201,08	176,25	173,25
44080	Codoñera (La)	45	1159,76	1144,09	830,66
44082	Corbalán	16	5489,39	3372,23	1285,15
44084	Cortes de Aragón	15	1900,51	1885,89	760,84
44085	Cosa	33	4961,75	3867,64	2831,88
44086	Cretas	165	2852,78	2530,43	2209,97
44087	Crivillén	20	1905,89	1897,35	933,44
44088	Cuba (La)	12	380,47	326,14	44,58
44089	Cubla	12	4407,11	1615	730,53
44090	Cucalón	28	1811,7	1591,01	1267,79
