Municipio codigo	Municipio nombre	Tipo de edificio	Tipo de edificio, código	Nº edificios
44216	Teruel	Destinado principal o exclusivamente a viviendas	1	5399
44217	Toril y Masegoso	Destinado principal o exclusivamente a viviendas	1	106
44218	Tormón	Destinado principal o exclusivamente a viviendas	1	73
44219	Tornos	Destinado principal o exclusivamente a viviendas	1	252
44220	Torralba de los Sisones	Destinado principal o exclusivamente a viviendas	1	149
44221	Torrecilla de Alcañiz	Destinado principal o exclusivamente a viviendas	1	293
44222	Torrecilla del Rebollar	Destinado principal o exclusivamente a viviendas	1	186
44223	Torre de Arcas	Destinado principal o exclusivamente a viviendas	1	104
44224	Torre de las Arcas	Destinado principal o exclusivamente a viviendas	1	80
44225	Torre del Compte	Destinado principal o exclusivamente a viviendas	1	220
44226	Torrelacárcel	Destinado principal o exclusivamente a viviendas	1	252
44227	Torre los Negros	Destinado principal o exclusivamente a viviendas	1	124
44228	Torremocha de Jiloca	Destinado principal o exclusivamente a viviendas	1	120
44229	Torres de Albarracín	Destinado principal o exclusivamente a viviendas	1	163
44230	Torrevelilla	Destinado principal o exclusivamente a viviendas	1	193
44231	Torrijas	Destinado principal o exclusivamente a viviendas	1	168
44232	Torrijo del Campo	Destinado principal o exclusivamente a viviendas	1	364
44234	Tramacastiel	Destinado principal o exclusivamente a viviendas	1	203
