Año	Comarca código	Comarca nombre	Rama código	Rama descripción	VAB
2009	31	Sierra de Albarracín	A	Agricultura, ganadería, silvicultura y pesca	4085,2
2009	31	Sierra de Albarracín	B+E	Extractivas; Energía y Agua	2838,6
2009	31	Sierra de Albarracín	C	Industria manufacturera	2851,6
2009	31	Sierra de Albarracín	F	Construcción	20678,9
2009	31	Sierra de Albarracín	G_I	Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas; transporte y almacenamiento; hostelería	19647,8
2009	31	Sierra de Albarracín	J	Información y comunicaciones	216,4
2009	31	Sierra de Albarracín	K	Actividades financieras y de seguros	581,2
2009	31	Sierra de Albarracín	L	Actividades inmobiliarias	1400,5
2009	31	Sierra de Albarracín	M_N	Actividades profesionales, científicas y técnicas; actividades administrativas y servicios auxiliares	3181,4
2009	31	Sierra de Albarracín	O_Q	Administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales	14069,9
2009	31	Sierra de Albarracín	R_U	Actividades artísticas, recreativas y de entretenimiento; reparación de artículos de uso doméstico y otros servicios	2302
2009	32	Gúdar-Javalambre	A	Agricultura, ganadería, silvicultura y pesca	7917,1
2009	32	Gúdar-Javalambre	B+E	Extractivas; Energía y Agua	12908,1
2009	32	Gúdar-Javalambre	C	Industria manufacturera	16827,6
2009	32	Gúdar-Javalambre	F	Construcción	49905,9
2009	32	Gúdar-Javalambre	G_I	Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas; transporte y almacenamiento; hostelería	45017,6
2009	32	Gúdar-Javalambre	J	Información y comunicaciones	277,8
2009	32	Gúdar-Javalambre	K	Actividades financieras y de seguros	906,9
2009	32	Gúdar-Javalambre	L	Actividades inmobiliarias	2334,7
2009	32	Gúdar-Javalambre	M_N	Actividades profesionales, científicas y técnicas; actividades administrativas y servicios auxiliares	4663,9
2009	32	Gúdar-Javalambre	O_Q	Administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales	14818
2009	32	Gúdar-Javalambre	R_U	Actividades artísticas, recreativas y de entretenimiento; reparación de artículos de uso doméstico y otros servicios	7442,1
2009	33	Matarraña / Matarranya	A	Agricultura, ganadería, silvicultura y pesca	20154,4
2009	33	Matarraña / Matarranya	B+E	Extractivas; Energía y Agua	8680,1
2009	33	Matarraña / Matarranya	C	Industria manufacturera	14587,6
2009	33	Matarraña / Matarranya	F	Construcción	38412,3
2009	33	Matarraña / Matarranya	G_I	Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas; transporte y almacenamiento; hostelería	34859,1
2009	33	Matarraña / Matarranya	J	Información y comunicaciones	462,6
2009	33	Matarraña / Matarranya	K	Actividades financieras y de seguros	1560,9
2009	33	Matarraña / Matarranya	L	Actividades inmobiliarias	3588,9
2009	33	Matarraña / Matarranya	M_N	Actividades profesionales, científicas y técnicas; actividades administrativas y servicios auxiliares	7720,1
2009	33	Matarraña / Matarranya	O_Q	Administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales	15311,1
2009	33	Matarraña / Matarranya	R_U	Actividades artísticas, recreativas y de entretenimiento; reparación de artículos de uso doméstico y otros servicios	6417,1
2008	01	La Jacetania	A	Agricultura, ganadería, silvicultura y pesca	26499
2008	01	La Jacetania	B+E	Extractivas; Energía y Agua	12473,5
2008	01	La Jacetania	C	Industria manufacturera	8324,1
2008	01	La Jacetania	F	Construcción	80062,6
2008	01	La Jacetania	G_I	Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas; transporte y almacenamiento; hostelería	119526,5
2008	01	La Jacetania	J	Información y comunicaciones	1774,9
2008	01	La Jacetania	K	Actividades financieras y de seguros	5650,9
2008	01	La Jacetania	L	Actividades inmobiliarias	18865,2
2008	01	La Jacetania	M_N	Actividades profesionales, científicas y técnicas; actividades administrativas y servicios auxiliares	13620,3
2008	01	La Jacetania	O_Q	Administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales	65630,2
2008	01	La Jacetania	R_U	Actividades artísticas, recreativas y de entretenimiento; reparación de artículos de uso doméstico y otros servicios	14024,5
2008	02	Alto Gállego	A	Agricultura, ganadería, silvicultura y pesca	11700,3
2008	02	Alto Gállego	B+E	Extractivas; Energía y Agua	27996,2
2008	02	Alto Gállego	C	Industria manufacturera	66109,9
2008	02	Alto Gállego	F	Construcción	68394,2
2008	02	Alto Gállego	G_I	Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas; transporte y almacenamiento; hostelería	117151,3
2008	02	Alto Gállego	J	Información y comunicaciones	1129,4
2008	02	Alto Gállego	K	Actividades financieras y de seguros	4843,1
2008	02	Alto Gállego	L	Actividades inmobiliarias	13128,4
2008	02	Alto Gállego	M_N	Actividades profesionales, científicas y técnicas; actividades administrativas y servicios auxiliares	10378
2008	02	Alto Gállego	O_Q	Administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales	31660,7
2008	02	Alto Gállego	R_U	Actividades artísticas, recreativas y de entretenimiento; reparación de artículos de uso doméstico y otros servicios	23588,6
2008	03	Sobrarbe	A	Agricultura, ganadería, silvicultura y pesca	31406,7
2008	03	Sobrarbe	B+E	Extractivas; Energía y Agua	17845,1
2008	03	Sobrarbe	C	Industria manufacturera	1642,1
2008	03	Sobrarbe	F	Construcción	51395,6
2008	03	Sobrarbe	G_I	Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas; transporte y almacenamiento; hostelería	44960,7
2008	03	Sobrarbe	J	Información y comunicaciones	769,1
2008	03	Sobrarbe	K	Actividades financieras y de seguros	1930,1
2008	03	Sobrarbe	L	Actividades inmobiliarias	5236,1
2008	03	Sobrarbe	M_N	Actividades profesionales, científicas y técnicas; actividades administrativas y servicios auxiliares	4563,5
2008	03	Sobrarbe	O_Q	Administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales	16772,9
2008	03	Sobrarbe	R_U	Actividades artísticas, recreativas y de entretenimiento; reparación de artículos de uso doméstico y otros servicios	3404,7
2008	04	La Ribagorza	A	Agricultura, ganadería, silvicultura y pesca	70526,9
2008	04	La Ribagorza	B+E	Extractivas; Energía y Agua	33316,9
2008	04	La Ribagorza	C	Industria manufacturera	15457,4
2008	04	La Ribagorza	F	Construcción	63655,2
2008	04	La Ribagorza	G_I	Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas; transporte y almacenamiento; hostelería	76482,8
2008	04	La Ribagorza	J	Información y comunicaciones	1336,9
2008	04	La Ribagorza	K	Actividades financieras y de seguros	3176,9
2008	04	La Ribagorza	L	Actividades inmobiliarias	12906,5
2008	04	La Ribagorza	M_N	Actividades profesionales, científicas y técnicas; actividades administrativas y servicios auxiliares	10868,4
2008	04	La Ribagorza	O_Q	Administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales	35944,5
2008	04	La Ribagorza	R_U	Actividades artísticas, recreativas y de entretenimiento; reparación de artículos de uso doméstico y otros servicios	15937,9
2008	05	Cinco Villas	A	Agricultura, ganadería, silvicultura y pesca	96183,9
2008	05	Cinco Villas	B+E	Extractivas; Energía y Agua	21314,6
2008	05	Cinco Villas	C	Industria manufacturera	132766,5
2008	05	Cinco Villas	F	Construcción	139870,7
2008	05	Cinco Villas	G_I	Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas; transporte y almacenamiento; hostelería	96700,5
2008	05	Cinco Villas	J	Información y comunicaciones	3438,5
2008	05	Cinco Villas	K	Actividades financieras y de seguros	10345
2008	05	Cinco Villas	L	Actividades inmobiliarias	26103,1
2008	05	Cinco Villas	M_N	Actividades profesionales, científicas y técnicas; actividades administrativas y servicios auxiliares	23917,8
2008	05	Cinco Villas	O_Q	Administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales	67405,7
2008	05	Cinco Villas	R_U	Actividades artísticas, recreativas y de entretenimiento; reparación de artículos de uso doméstico y otros servicios	10172,7
2008	06	Hoya de Huesca / Plana de Uesca	A	Agricultura, ganadería, silvicultura y pesca	118688,8
2008	06	Hoya de Huesca / Plana de Uesca	B+E	Extractivas; Energía y Agua	44768,8
2008	06	Hoya de Huesca / Plana de Uesca	C	Industria manufacturera	121530
2008	06	Hoya de Huesca / Plana de Uesca	F	Construcción	264847,2
