Mes y año	Mes (código)	Mes nombre	Año	Provincia código	Provincia nombre	Sector código	Sector descripción	Sexo	Temporalidad	Días duración contrato	Número de contratos	Duración contrato	Duración media contrato
Septiembre 2017	201709	Septiembre	2017	22	Huesca	4	Servicios	Mujeres	Temporal	0	972	0	0
Septiembre 2017	201709	Septiembre	2017	22	Huesca	4	Servicios	Mujeres	Temporal	1	1937	91914	47,45172947857511615900877645844088797109
Septiembre 2017	201709	Septiembre	2017	44	Teruel	1	Agricultura, ganadería y pesca	Hombres	Temporal	0	147	0	0
Septiembre 2017	201709	Septiembre	2017	44	Teruel	1	Agricultura, ganadería y pesca	Hombres	Temporal	1	24	1966	81,91666666666666666666666666666666666667
Septiembre 2017	201709	Septiembre	2017	44	Teruel	1	Agricultura, ganadería y pesca	Mujeres	Temporal	0	51	0	0
Septiembre 2017	201709	Septiembre	2017	44	Teruel	1	Agricultura, ganadería y pesca	Mujeres	Temporal	1	3	273	91
Septiembre 2017	201709	Septiembre	2017	44	Teruel	2	Industria y energía	Hombres	Temporal	0	108	0	0
Septiembre 2017	201709	Septiembre	2017	44	Teruel	2	Industria y energía	Hombres	Temporal	1	886	14861	16,77313769751693002257336343115124153499
Septiembre 2017	201709	Septiembre	2017	44	Teruel	2	Industria y energía	Mujeres	Temporal	0	36	0	0
Septiembre 2017	201709	Septiembre	2017	44	Teruel	2	Industria y energía	Mujeres	Temporal	1	202	3637	18,0049504950495049504950495049504950495
Septiembre 2017	201709	Septiembre	2017	44	Teruel	3	Construcción	Hombres	Temporal	0	165	0	0
Septiembre 2017	201709	Septiembre	2017	44	Teruel	3	Construcción	Hombres	Temporal	1	46	5468	118,86956521739130434782608695652173913
Septiembre 2017	201709	Septiembre	2017	44	Teruel	3	Construcción	Mujeres	Temporal	0	6	0	0
Septiembre 2017	201709	Septiembre	2017	44	Teruel	3	Construcción	Mujeres	Temporal	1	2	202	101
Septiembre 2017	201709	Septiembre	2017	44	Teruel	4	Servicios	Hombres	Temporal	0	308	0	0
Septiembre 2017	201709	Septiembre	2017	44	Teruel	4	Servicios	Hombres	Temporal	1	1132	40220	35,53003533568904593639575971731448763251
Septiembre 2017	201709	Septiembre	2017	44	Teruel	4	Servicios	Mujeres	Temporal	0	528	0	0
Septiembre 2017	201709	Septiembre	2017	44	Teruel	4	Servicios	Mujeres	Temporal	1	1264	60355	47,74920886075949367088607594936708860759
Septiembre 2017	201709	Septiembre	2017	50	Zaragoza	1	Agricultura, ganadería y pesca	Hombres	Temporal	0	2873	0	0
Septiembre 2017	201709	Septiembre	2017	50	Zaragoza	1	Agricultura, ganadería y pesca	Hombres	Temporal	1	949	23424	24,68282402528977871443624868282402528978
Septiembre 2017	201709	Septiembre	2017	50	Zaragoza	1	Agricultura, ganadería y pesca	Mujeres	Temporal	0	723	0	0
Septiembre 2017	201709	Septiembre	2017	50	Zaragoza	1	Agricultura, ganadería y pesca	Mujeres	Temporal	1	571	13814	24,19264448336252189141856392294220665499
Septiembre 2017	201709	Septiembre	2017	50	Zaragoza	2	Industria y energía	Hombres	Temporal	0	1655	0	0
Septiembre 2017	201709	Septiembre	2017	50	Zaragoza	2	Industria y energía	Hombres	Temporal	1	4514	192695	42,68830305715551617190961453256535223748
Septiembre 2017	201709	Septiembre	2017	50	Zaragoza	2	Industria y energía	Mujeres	Temporal	0	666	0	0
Septiembre 2017	201709	Septiembre	2017	50	Zaragoza	2	Industria y energía	Mujeres	Temporal	1	2649	71516	26,99735749339373348433371083427708569271
Septiembre 2017	201709	Septiembre	2017	50	Zaragoza	3	Construcción	Hombres	Temporal	0	826	0	0
Septiembre 2017	201709	Septiembre	2017	50	Zaragoza	3	Construcción	Hombres	Temporal	1	263	26091	99,20532319391634980988593155893536121673
Septiembre 2017	201709	Septiembre	2017	50	Zaragoza	3	Construcción	Mujeres	Temporal	0	29	0	0
Septiembre 2017	201709	Septiembre	2017	50	Zaragoza	3	Construcción	Mujeres	Temporal	1	28	3541	126,464285714285714285714285714285714286
Septiembre 2017	201709	Septiembre	2017	50	Zaragoza	4	Servicios	Hombres	Temporal	0	3385	0	0
Septiembre 2017	201709	Septiembre	2017	50	Zaragoza	4	Servicios	Hombres	Temporal	1	8967	458919	51,17865506858481097356975577116092338575
Septiembre 2017	201709	Septiembre	2017	50	Zaragoza	4	Servicios	Mujeres	Temporal	0	5491	0	0
Septiembre 2017	201709	Septiembre	2017	50	Zaragoza	4	Servicios	Mujeres	Temporal	1	9588	551291	57,49801835627868168544013350020859407593
Agosto 2017	201708	Agosto	2017	22	Huesca	1	Agricultura, ganadería y pesca	Hombres	Temporal	0	1300	0	0
Agosto 2017	201708	Agosto	2017	22	Huesca	1	Agricultura, ganadería y pesca	Hombres	Temporal	1	418	15663	37,47129186602870813397129186602870813397
Agosto 2017	201708	Agosto	2017	22	Huesca	1	Agricultura, ganadería y pesca	Mujeres	Temporal	0	235	0	0
Agosto 2017	201708	Agosto	2017	22	Huesca	1	Agricultura, ganadería y pesca	Mujeres	Temporal	1	84	2909	34,63095238095238095238095238095238095238
Agosto 2017	201708	Agosto	2017	22	Huesca	2	Industria y energía	Hombres	Temporal	0	224	0	0
Agosto 2017	201708	Agosto	2017	22	Huesca	2	Industria y energía	Hombres	Temporal	1	193	32806	169,979274611398963730569948186528497409
Agosto 2017	201708	Agosto	2017	22	Huesca	2	Industria y energía	Mujeres	Temporal	0	73	0	0
Agosto 2017	201708	Agosto	2017	22	Huesca	2	Industria y energía	Mujeres	Temporal	1	59	3713	62,9322033898305084745762711864406779661
Agosto 2017	201708	Agosto	2017	22	Huesca	3	Construcción	Hombres	Temporal	0	187	0	0
Agosto 2017	201708	Agosto	2017	22	Huesca	3	Construcción	Hombres	Temporal	1	65	6676	102,707692307692307692307692307692307692
Agosto 2017	201708	Agosto	2017	22	Huesca	3	Construcción	Mujeres	Temporal	0	3	0	0
Agosto 2017	201708	Agosto	2017	22	Huesca	3	Construcción	Mujeres	Temporal	1	1	30	30
Agosto 2017	201708	Agosto	2017	22	Huesca	4	Servicios	Hombres	Temporal	0	706	0	0
Agosto 2017	201708	Agosto	2017	22	Huesca	4	Servicios	Hombres	Temporal	1	1877	51094	27,22109749600426212040490143846563665424
Agosto 2017	201708	Agosto	2017	22	Huesca	4	Servicios	Mujeres	Temporal	0	897	0	0
Agosto 2017	201708	Agosto	2017	22	Huesca	4	Servicios	Mujeres	Temporal	1	1903	51301	26,95796111403047819232790331056227009984
Agosto 2017	201708	Agosto	2017	44	Teruel	1	Agricultura, ganadería y pesca	Hombres	Temporal	0	100	0	0
Agosto 2017	201708	Agosto	2017	44	Teruel	1	Agricultura, ganadería y pesca	Hombres	Temporal	1	22	2310	105
Agosto 2017	201708	Agosto	2017	44	Teruel	1	Agricultura, ganadería y pesca	Mujeres	Temporal	0	32	0	0
