Municipio código	Municipio nombre	Explotaciones	Porcentaje de SAU en propiedad del titular
22061	Binéfar	6	d) >=25% a < 50%  de la SAU en propiedad
22061	Binéfar	6	e) >=50% a < 75%  de la SAU en propiedad
22061	Binéfar	4	f) >= 75% a < 90%  de la SAU en propiedad
22061	Binéfar	132	g) >= 90%  de la SAU en propiedad
22062	Bisaurri	2	a) No hay SAU
22062	Bisaurri	5	b) < 10% de la SAU en propiedad
22062	Bisaurri	9	c) >=10% a < 25%  de la SAU en propiedad
22062	Bisaurri	5	d) >=25% a < 50%  de la SAU en propiedad
22062	Bisaurri	4	e) >=50% a < 75%  de la SAU en propiedad
22062	Bisaurri	3	f) >= 75% a < 90%  de la SAU en propiedad
22062	Bisaurri	20	g) >= 90%  de la SAU en propiedad
22063	Biscarrués	1	a) No hay SAU
22063	Biscarrués	6	b) < 10% de la SAU en propiedad
22063	Biscarrués	2	c) >=10% a < 25%  de la SAU en propiedad
22063	Biscarrués	5	d) >=25% a < 50%  de la SAU en propiedad
22063	Biscarrués	4	e) >=50% a < 75%  de la SAU en propiedad
22063	Biscarrués	7	f) >= 75% a < 90%  de la SAU en propiedad
22063	Biscarrués	25	g) >= 90%  de la SAU en propiedad
22064	Blecua y Torres	1	a) No hay SAU
22064	Blecua y Torres	3	b) < 10% de la SAU en propiedad
22064	Blecua y Torres	2	c) >=10% a < 25%  de la SAU en propiedad
22064	Blecua y Torres	7	d) >=25% a < 50%  de la SAU en propiedad
22064	Blecua y Torres	3	e) >=50% a < 75%  de la SAU en propiedad
22064	Blecua y Torres	1	f) >= 75% a < 90%  de la SAU en propiedad
22064	Blecua y Torres	26	g) >= 90%  de la SAU en propiedad
22066	Boltaña	2	a) No hay SAU
22066	Boltaña	13	b) < 10% de la SAU en propiedad
22066	Boltaña	2	c) >=10% a < 25%  de la SAU en propiedad
22066	Boltaña	4	d) >=25% a < 50%  de la SAU en propiedad
22066	Boltaña	4	e) >=50% a < 75%  de la SAU en propiedad
22066	Boltaña	1	f) >= 75% a < 90%  de la SAU en propiedad
22066	Boltaña	20	g) >= 90%  de la SAU en propiedad
22067	Bonansa	1	b) < 10% de la SAU en propiedad
22067	Bonansa	1	c) >=10% a < 25%  de la SAU en propiedad
22067	Bonansa	4	d) >=25% a < 50%  de la SAU en propiedad
22067	Bonansa	1	f) >= 75% a < 90%  de la SAU en propiedad
22067	Bonansa	6	g) >= 90%  de la SAU en propiedad
22068	Borau	2	b) < 10% de la SAU en propiedad
22068	Borau	1	f) >= 75% a < 90%  de la SAU en propiedad
22068	Borau	3	g) >= 90%  de la SAU en propiedad
22069	Broto	2	a) No hay SAU
22069	Broto	10	b) < 10% de la SAU en propiedad
22069	Broto	2	c) >=10% a < 25%  de la SAU en propiedad
22069	Broto	5	d) >=25% a < 50%  de la SAU en propiedad
22069	Broto	6	e) >=50% a < 75%  de la SAU en propiedad
22069	Broto	1	f) >= 75% a < 90%  de la SAU en propiedad
22069	Broto	23	g) >= 90%  de la SAU en propiedad
22072	Caldearenas	2	a) No hay SAU
22072	Caldearenas	24	b) < 10% de la SAU en propiedad
22072	Caldearenas	1	c) >=10% a < 25%  de la SAU en propiedad
22072	Caldearenas	4	d) >=25% a < 50%  de la SAU en propiedad
22072	Caldearenas	2	e) >=50% a < 75%  de la SAU en propiedad
22072	Caldearenas	3	f) >= 75% a < 90%  de la SAU en propiedad
22072	Caldearenas	28	g) >= 90%  de la SAU en propiedad
22074	Campo	2	a) No hay SAU
22074	Campo	4	b) < 10% de la SAU en propiedad
22074	Campo	2	c) >=10% a < 25%  de la SAU en propiedad
22074	Campo	1	d) >=25% a < 50%  de la SAU en propiedad
22074	Campo	1	e) >=50% a < 75%  de la SAU en propiedad
22074	Campo	3	g) >= 90%  de la SAU en propiedad
22075	Camporrells	3	a) No hay SAU
22075	Camporrells	8	b) < 10% de la SAU en propiedad
22075	Camporrells	1	c) >=10% a < 25%  de la SAU en propiedad
22075	Camporrells	4	d) >=25% a < 50%  de la SAU en propiedad
22075	Camporrells	2	e) >=50% a < 75%  de la SAU en propiedad
22075	Camporrells	2	f) >= 75% a < 90%  de la SAU en propiedad
22075	Camporrells	28	g) >= 90%  de la SAU en propiedad
22076	Canal de Berdún	1	a) No hay SAU
22076	Canal de Berdún	31	b) < 10% de la SAU en propiedad
22076	Canal de Berdún	8	c) >=10% a < 25%  de la SAU en propiedad
22076	Canal de Berdún	10	d) >=25% a < 50%  de la SAU en propiedad
22076	Canal de Berdún	17	e) >=50% a < 75%  de la SAU en propiedad
22076	Canal de Berdún	8	f) >= 75% a < 90%  de la SAU en propiedad
22076	Canal de Berdún	27	g) >= 90%  de la SAU en propiedad
22077	Candasnos	2	a) No hay SAU
22077	Candasnos	35	b) < 10% de la SAU en propiedad
22077	Candasnos	9	c) >=10% a < 25%  de la SAU en propiedad
22077	Candasnos	8	d) >=25% a < 50%  de la SAU en propiedad
22077	Candasnos	14	e) >=50% a < 75%  de la SAU en propiedad
22077	Candasnos	7	f) >= 75% a < 90%  de la SAU en propiedad
22077	Candasnos	27	g) >= 90%  de la SAU en propiedad
22078	Canfranc	1	b) < 10% de la SAU en propiedad
22078	Canfranc	1	d) >=25% a < 50%  de la SAU en propiedad
22078	Canfranc	2	g) >= 90%  de la SAU en propiedad
22079	Capdesaso	9	b) < 10% de la SAU en propiedad
22079	Capdesaso	2	d) >=25% a < 50%  de la SAU en propiedad
22079	Capdesaso	3	e) >=50% a < 75%  de la SAU en propiedad
22079	Capdesaso	9	g) >= 90%  de la SAU en propiedad
22080	Capella	2	a) No hay SAU
22080	Capella	8	b) < 10% de la SAU en propiedad
22080	Capella	1	c) >=10% a < 25%  de la SAU en propiedad
22080	Capella	3	d) >=25% a < 50%  de la SAU en propiedad
22080	Capella	8	e) >=50% a < 75%  de la SAU en propiedad
22080	Capella	4	f) >= 75% a < 90%  de la SAU en propiedad
22080	Capella	39	g) >= 90%  de la SAU en propiedad
22081	Casbas de Huesca	19	b) < 10% de la SAU en propiedad
22081	Casbas de Huesca	9	c) >=10% a < 25%  de la SAU en propiedad
22081	Casbas de Huesca	8	d) >=25% a < 50%  de la SAU en propiedad
22081	Casbas de Huesca	11	e) >=50% a < 75%  de la SAU en propiedad
22081	Casbas de Huesca	6	f) >= 75% a < 90%  de la SAU en propiedad
22081	Casbas de Huesca	46	g) >= 90%  de la SAU en propiedad
22082	Castejón del Puente	2	a) No hay SAU
22082	Castejón del Puente	9	b) < 10% de la SAU en propiedad
22082	Castejón del Puente	1	c) >=10% a < 25%  de la SAU en propiedad
22082	Castejón del Puente	3	d) >=25% a < 50%  de la SAU en propiedad
22082	Castejón del Puente	2	e) >=50% a < 75%  de la SAU en propiedad
22082	Castejón del Puente	4	f) >= 75% a < 90%  de la SAU en propiedad
22082	Castejón del Puente	32	g) >= 90%  de la SAU en propiedad
22083	Castejón de Monegros	7	a) No hay SAU
22083	Castejón de Monegros	12	b) < 10% de la SAU en propiedad
22083	Castejón de Monegros	3	c) >=10% a < 25%  de la SAU en propiedad
22083	Castejón de Monegros	19	d) >=25% a < 50%  de la SAU en propiedad
22083	Castejón de Monegros	20	e) >=50% a < 75%  de la SAU en propiedad
22083	Castejón de Monegros	13	f) >= 75% a < 90%  de la SAU en propiedad
22083	Castejón de Monegros	53	g) >= 90%  de la SAU en propiedad
22084	Castejón de Sos	7	b) < 10% de la SAU en propiedad
22084	Castejón de Sos	5	d) >=25% a < 50%  de la SAU en propiedad
22084	Castejón de Sos	2	e) >=50% a < 75%  de la SAU en propiedad
22084	Castejón de Sos	14	g) >= 90%  de la SAU en propiedad
22085	Castelflorite	1	a) No hay SAU
22085	Castelflorite	7	b) < 10% de la SAU en propiedad
22085	Castelflorite	1	d) >=25% a < 50%  de la SAU en propiedad
22085	Castelflorite	7	e) >=50% a < 75%  de la SAU en propiedad
22085	Castelflorite	6	f) >= 75% a < 90%  de la SAU en propiedad
22085	Castelflorite	20	g) >= 90%  de la SAU en propiedad
