Municipio código	Municipio nombre	REGTENEN ORDEN	Régimen de tenencia (agregado)	Régimen de tenencia (detalle)	Número hogares
50210	Pintanos (Los)	1	En propiedad	En propiedad, por compra totalmente pagada	12
50210	Pintanos (Los)	1	En propiedad	En propiedad, por herencia o donación	21
50211	Plasencia de Jalón	1	En propiedad	En propiedad, por compra totalmente pagada	65
50211	Plasencia de Jalón	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	7
50211	Plasencia de Jalón	1	En propiedad	En propiedad, por herencia o donación	55
50212	Pleitas	1	En propiedad	En propiedad, por compra totalmente pagada	13
50212	Pleitas	1	En propiedad	En propiedad, por herencia o donación	5
50213	Plenas	1	En propiedad	En propiedad, por compra totalmente pagada	56
50213	Plenas	1	En propiedad	En propiedad, por herencia o donación	14
50214	Pomer	1	En propiedad	En propiedad, por compra totalmente pagada	11
50214	Pomer	1	En propiedad	En propiedad, por herencia o donación	11
50215	Pozuel de Ariza	1	En propiedad	En propiedad, por compra totalmente pagada	7
50216	Pozuelo de Aragón	1	En propiedad	En propiedad, por compra totalmente pagada	50
50216	Pozuelo de Aragón	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	10
50216	Pozuelo de Aragón	1	En propiedad	En propiedad, por herencia o donación	48
50217	Pradilla de Ebro	1	En propiedad	En propiedad, por compra totalmente pagada	205
50217	Pradilla de Ebro	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	3
50217	Pradilla de Ebro	1	En propiedad	En propiedad, por herencia o donación	26
50218	Puebla de Albortón	1	En propiedad	En propiedad, por compra totalmente pagada	39
50218	Puebla de Albortón	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	2
50218	Puebla de Albortón	1	En propiedad	En propiedad, por herencia o donación	17
50219	Puebla de Alfindén (La)	1	En propiedad	En propiedad, por compra totalmente pagada	265
50219	Puebla de Alfindén (La)	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	403
50219	Puebla de Alfindén (La)	1	En propiedad	En propiedad, por herencia o donación	103
50220	Puendeluna	1	En propiedad	En propiedad, por compra totalmente pagada	8
50220	Puendeluna	1	En propiedad	En propiedad, por herencia o donación	16
50221	Purujosa	1	En propiedad	En propiedad, por compra totalmente pagada	12
50221	Purujosa	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	1
50221	Purujosa	1	En propiedad	En propiedad, por herencia o donación	14
50222	Quinto	1	En propiedad	En propiedad, por compra totalmente pagada	479
50222	Quinto	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	124
50222	Quinto	1	En propiedad	En propiedad, por herencia o donación	87
50223	Remolinos	1	En propiedad	En propiedad, por compra totalmente pagada	187
50223	Remolinos	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	54
50223	Remolinos	1	En propiedad	En propiedad, por herencia o donación	174
50224	Retascón	1	En propiedad	En propiedad, por compra totalmente pagada	10
50224	Retascón	1	En propiedad	En propiedad, por herencia o donación	19
50225	Ricla	1	En propiedad	En propiedad, por compra totalmente pagada	489
50225	Ricla	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	72
50225	Ricla	1	En propiedad	En propiedad, por herencia o donación	112
50227	Romanos	1	En propiedad	En propiedad, por compra totalmente pagada	15
50227	Romanos	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	1
50227	Romanos	1	En propiedad	En propiedad, por herencia o donación	30
50228	Rueda de Jalón	1	En propiedad	En propiedad, por compra totalmente pagada	116
50228	Rueda de Jalón	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	2
50228	Rueda de Jalón	1	En propiedad	En propiedad, por herencia o donación	22
50229	Ruesca	1	En propiedad	En propiedad, por compra totalmente pagada	14
50229	Ruesca	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	2
50229	Ruesca	1	En propiedad	En propiedad, por herencia o donación	9
50230	Sádaba	1	En propiedad	En propiedad, por compra totalmente pagada	359
50230	Sádaba	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	80
50230	Sádaba	1	En propiedad	En propiedad, por herencia o donación	128
50231	Salillas de Jalón	1	En propiedad	En propiedad, por compra totalmente pagada	52
50231	Salillas de Jalón	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	19
50231	Salillas de Jalón	1	En propiedad	En propiedad, por herencia o donación	75
50232	Salvatierra de Esca	1	En propiedad	En propiedad, por compra totalmente pagada	37
50232	Salvatierra de Esca	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	21
50232	Salvatierra de Esca	1	En propiedad	En propiedad, por herencia o donación	57
50233	Samper del Salz	1	En propiedad	En propiedad, por compra totalmente pagada	30
50233	Samper del Salz	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	7
50233	Samper del Salz	1	En propiedad	En propiedad, por herencia o donación	19
50234	San Martín de la Virgen de Moncayo	1	En propiedad	En propiedad, por compra totalmente pagada	19
50234	San Martín de la Virgen de Moncayo	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	4
50234	San Martín de la Virgen de Moncayo	1	En propiedad	En propiedad, por herencia o donación	76
50235	San Mateo de Gállego	1	En propiedad	En propiedad, por compra totalmente pagada	338
50235	San Mateo de Gállego	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	156
50235	San Mateo de Gállego	1	En propiedad	En propiedad, por herencia o donación	185
50236	Santa Cruz de Grío	1	En propiedad	En propiedad, por compra totalmente pagada	41
50236	Santa Cruz de Grío	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	5
50236	Santa Cruz de Grío	1	En propiedad	En propiedad, por herencia o donación	37
50237	Santa Cruz de Moncayo	1	En propiedad	En propiedad, por compra totalmente pagada	21
50237	Santa Cruz de Moncayo	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	10
50237	Santa Cruz de Moncayo	1	En propiedad	En propiedad, por herencia o donación	12
50238	Santa Eulalia de Gállego	1	En propiedad	En propiedad, por compra totalmente pagada	26
50238	Santa Eulalia de Gállego	1	En propiedad	En propiedad, por herencia o donación	27
50239	Santed	1	En propiedad	En propiedad, por compra totalmente pagada	6
50239	Santed	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	1
50239	Santed	1	En propiedad	En propiedad, por herencia o donación	21
50240	Sástago	1	En propiedad	En propiedad, por compra totalmente pagada	276
50240	Sástago	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	36
50240	Sástago	1	En propiedad	En propiedad, por herencia o donación	171
50241	Saviñán	1	En propiedad	En propiedad, por compra totalmente pagada	182
50241	Saviñán	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	20
50241	Saviñán	1	En propiedad	En propiedad, por herencia o donación	93
50242	Sediles	1	En propiedad	En propiedad, por compra totalmente pagada	15
50242	Sediles	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	1
50242	Sediles	1	En propiedad	En propiedad, por herencia o donación	18
50243	Sestrica	1	En propiedad	En propiedad, por compra totalmente pagada	97
50243	Sestrica	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	16
50243	Sestrica	1	En propiedad	En propiedad, por herencia o donación	61
50244	Sierra de Luna	1	En propiedad	En propiedad, por compra totalmente pagada	20
50244	Sierra de Luna	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	1
50244	Sierra de Luna	1	En propiedad	En propiedad, por herencia o donación	74
50245	Sigüés	1	En propiedad	En propiedad, por compra totalmente pagada	21
50245	Sigüés	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	3
50245	Sigüés	1	En propiedad	En propiedad, por herencia o donación	43
50246	Sisamón	1	En propiedad	En propiedad, por compra totalmente pagada	17
50246	Sisamón	1	En propiedad	En propiedad, por herencia o donación	13
50247	Sobradiel	1	En propiedad	En propiedad, por compra totalmente pagada	95
50247	Sobradiel	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	78
50247	Sobradiel	1	En propiedad	En propiedad, por herencia o donación	36
50248	Sos del Rey Católico	1	En propiedad	En propiedad, por compra totalmente pagada	119
50248	Sos del Rey Católico	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	24
50248	Sos del Rey Católico	1	En propiedad	En propiedad, por herencia o donación	103
50249	Tabuenca	1	En propiedad	En propiedad, por compra totalmente pagada	35
50249	Tabuenca	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	5
50249	Tabuenca	1	En propiedad	En propiedad, por herencia o donación	94
50250	Talamantes	1	En propiedad	En propiedad, por compra totalmente pagada	6
50250	Talamantes	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	2
50250	Talamantes	1	En propiedad	En propiedad, por herencia o donación	21
50251	Tarazona	1	En propiedad	En propiedad, por compra totalmente pagada	2197
50251	Tarazona	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	768
50251	Tarazona	1	En propiedad	En propiedad, por herencia o donación	364
50252	Tauste	1	En propiedad	En propiedad, por compra totalmente pagada	1219
50252	Tauste	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	459
50252	Tauste	1	En propiedad	En propiedad, por herencia o donación	368
50253	Terrer	1	En propiedad	En propiedad, por compra totalmente pagada	110
50253	Terrer	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	19
50253	Terrer	1	En propiedad	En propiedad, por herencia o donación	71
50254	Tierga	1	En propiedad	En propiedad, por compra totalmente pagada	32
50254	Tierga	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	12
50254	Tierga	1	En propiedad	En propiedad, por herencia o donación	43
50255	Tobed	1	En propiedad	En propiedad, por compra totalmente pagada	53
50255	Tobed	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	2
50255	Tobed	1	En propiedad	En propiedad, por herencia o donación	75
50256	Torralba de los Frailes	1	En propiedad	En propiedad, por compra totalmente pagada	15
50256	Torralba de los Frailes	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	1
50256	Torralba de los Frailes	1	En propiedad	En propiedad, por herencia o donación	20
50257	Torralba de Ribota	1	En propiedad	En propiedad, por compra totalmente pagada	40
50257	Torralba de Ribota	1	En propiedad	En propiedad, por herencia o donación	35
50258	Torralbilla	1	En propiedad	En propiedad, por compra totalmente pagada	10
50258	Torralbilla	1	En propiedad	En propiedad, por herencia o donación	22
50259	Torrehermosa	1	En propiedad	En propiedad, por compra totalmente pagada	14
50259	Torrehermosa	1	En propiedad	En propiedad, por herencia o donación	27
50260	Torrelapaja	1	En propiedad	En propiedad, por compra totalmente pagada	9
50260	Torrelapaja	1	En propiedad	En propiedad, por herencia o donación	12
50261	Torrellas	1	En propiedad	En propiedad, por compra totalmente pagada	47
50261	Torrellas	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	1
50261	Torrellas	1	En propiedad	En propiedad, por herencia o donación	67
50262	Torres de Berrellén	1	En propiedad	En propiedad, por compra totalmente pagada	219
50262	Torres de Berrellén	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	69
50262	Torres de Berrellén	1	En propiedad	En propiedad, por herencia o donación	146
50263	Torrijo de la Cañada	1	En propiedad	En propiedad, por compra totalmente pagada	87
50263	Torrijo de la Cañada	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	4
50263	Torrijo de la Cañada	1	En propiedad	En propiedad, por herencia o donación	69
50264	Tosos	1	En propiedad	En propiedad, por compra totalmente pagada	33
50264	Tosos	1	En propiedad	En propiedad, por herencia o donación	45
50265	Trasmoz	1	En propiedad	En propiedad, por compra totalmente pagada	10
50265	Trasmoz	1	En propiedad	En propiedad, por herencia o donación	13
50266	Trasobares	1	En propiedad	En propiedad, por compra totalmente pagada	35
50266	Trasobares	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	1
50266	Trasobares	1	En propiedad	En propiedad, por herencia o donación	57
50267	Uncastillo	1	En propiedad	En propiedad, por compra totalmente pagada	113
50267	Uncastillo	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	25
50267	Uncastillo	1	En propiedad	En propiedad, por herencia o donación	126
50268	Undués de Lerda	1	En propiedad	En propiedad, por compra totalmente pagada	13
50268	Undués de Lerda	1	En propiedad	En propiedad, por herencia o donación	12
50269	Urrea de Jalón	1	En propiedad	En propiedad, por compra totalmente pagada	50
50269	Urrea de Jalón	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	13
50269	Urrea de Jalón	1	En propiedad	En propiedad, por herencia o donación	36
50270	Urriés	1	En propiedad	En propiedad, por compra totalmente pagada	7
50270	Urriés	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	1
50270	Urriés	1	En propiedad	En propiedad, por herencia o donación	24
50271	Used	1	En propiedad	En propiedad, por compra totalmente pagada	69
50271	Used	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	4
50271	Used	1	En propiedad	En propiedad, por herencia o donación	41
50272	Utebo	1	En propiedad	En propiedad, por compra totalmente pagada	1656
50272	Utebo	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	1877
50272	Utebo	1	En propiedad	En propiedad, por herencia o donación	150
50273	Valdehorna	1	En propiedad	En propiedad, por compra totalmente pagada	4
50273	Valdehorna	1	En propiedad	En propiedad, por herencia o donación	20
50274	Val de San Martín	1	En propiedad	En propiedad, por compra totalmente pagada	9
50274	Val de San Martín	1	En propiedad	En propiedad, por herencia o donación	26
50275	Valmadrid	1	En propiedad	En propiedad, por compra totalmente pagada	10
50275	Valmadrid	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	2
50275	Valmadrid	1	En propiedad	En propiedad, por herencia o donación	17
50276	Valpalmas	1	En propiedad	En propiedad, por compra totalmente pagada	25
50276	Valpalmas	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	3
50276	Valpalmas	1	En propiedad	En propiedad, por herencia o donación	33
50277	Valtorres	1	En propiedad	En propiedad, por compra totalmente pagada	23
50277	Valtorres	1	En propiedad	En propiedad, por herencia o donación	19
50278	Velilla de Ebro	1	En propiedad	En propiedad, por compra totalmente pagada	60
50278	Velilla de Ebro	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	16
50278	Velilla de Ebro	1	En propiedad	En propiedad, por herencia o donación	26
50279	Velilla de Jiloca	1	En propiedad	En propiedad, por compra totalmente pagada	27
50279	Velilla de Jiloca	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	4
50279	Velilla de Jiloca	1	En propiedad	En propiedad, por herencia o donación	13
50280	Vera de Moncayo	1	En propiedad	En propiedad, por compra totalmente pagada	79
50280	Vera de Moncayo	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	12
50280	Vera de Moncayo	1	En propiedad	En propiedad, por herencia o donación	76
50281	Vierlas	1	En propiedad	En propiedad, por compra totalmente pagada	23
50281	Vierlas	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	3
50281	Vierlas	1	En propiedad	En propiedad, por herencia o donación	18
50282	Vilueña (La)	1	En propiedad	En propiedad, por compra totalmente pagada	13
50282	Vilueña (La)	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	1
50282	Vilueña (La)	1	En propiedad	En propiedad, por herencia o donación	25
50283	Villadoz	1	En propiedad	En propiedad, por compra totalmente pagada	7
50283	Villadoz	1	En propiedad	En propiedad, por herencia o donación	22
50284	Villafeliche	1	En propiedad	En propiedad, por compra totalmente pagada	51
50284	Villafeliche	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	1
50284	Villafeliche	1	En propiedad	En propiedad, por herencia o donación	46
50285	Villafranca de Ebro	1	En propiedad	En propiedad, por compra totalmente pagada	135
50285	Villafranca de Ebro	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	32
50285	Villafranca de Ebro	1	En propiedad	En propiedad, por herencia o donación	57
50286	Villalba de Perejil	1	En propiedad	En propiedad, por compra totalmente pagada	27
50286	Villalba de Perejil	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	1
50286	Villalba de Perejil	1	En propiedad	En propiedad, por herencia o donación	9
50287	Villalengua	1	En propiedad	En propiedad, por compra totalmente pagada	83
50287	Villalengua	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	5
50287	Villalengua	1	En propiedad	En propiedad, por herencia o donación	44
50288	Villanueva de Gállego	1	En propiedad	En propiedad, por compra totalmente pagada	381
50288	Villanueva de Gállego	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	490
50288	Villanueva de Gállego	1	En propiedad	En propiedad, por herencia o donación	148
50289	Villanueva de Jiloca	1	En propiedad	En propiedad, por compra totalmente pagada	21
50289	Villanueva de Jiloca	1	En propiedad	En propiedad, por herencia o donación	20
50290	Villanueva de Huerva	1	En propiedad	En propiedad, por compra totalmente pagada	129
50290	Villanueva de Huerva	1	En propiedad	En propiedad, por herencia o donación	101
50291	Villar de los Navarros	1	En propiedad	En propiedad, por compra totalmente pagada	29
50291	Villar de los Navarros	1	En propiedad	En propiedad, por herencia o donación	34
50292	Villarreal de Huerva	1	En propiedad	En propiedad, por compra totalmente pagada	34
50292	Villarreal de Huerva	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	1
50292	Villarreal de Huerva	1	En propiedad	En propiedad, por herencia o donación	28
50293	Villarroya de la Sierra	1	En propiedad	En propiedad, por compra totalmente pagada	161
50293	Villarroya de la Sierra	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	23
50293	Villarroya de la Sierra	1	En propiedad	En propiedad, por herencia o donación	99
50294	Villarroya del Campo	1	En propiedad	En propiedad, por compra totalmente pagada	15
50294	Villarroya del Campo	1	En propiedad	En propiedad, por herencia o donación	13
50295	Vistabella	1	En propiedad	En propiedad, por compra totalmente pagada	7
50295	Vistabella	1	En propiedad	En propiedad, por herencia o donación	11
50296	Zaida (La)	1	En propiedad	En propiedad, por compra totalmente pagada	122
50296	Zaida (La)	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	18
50296	Zaida (La)	1	En propiedad	En propiedad, por herencia o donación	38
50297	Zaragoza	1	En propiedad	En propiedad, por compra totalmente pagada	121777
50297	Zaragoza	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	60556
50297	Zaragoza	1	En propiedad	En propiedad, por herencia o donación	6168
50298	Zuera	1	En propiedad	En propiedad, por compra totalmente pagada	1158
50298	Zuera	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	503
50298	Zuera	1	En propiedad	En propiedad, por herencia o donación	115
50901	Biel	1	En propiedad	En propiedad, por compra totalmente pagada	33
50901	Biel	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	5
50901	Biel	1	En propiedad	En propiedad, por herencia o donación	63
50902	Marracos	1	En propiedad	En propiedad, por compra totalmente pagada	12
50902	Marracos	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	1
50902	Marracos	1	En propiedad	En propiedad, por herencia o donación	26
22001	Abiego	2	En alquiler	En alquiler	1
22002	Abizanda	2	En alquiler	En alquiler	2
22003	Adahuesca	2	En alquiler	En alquiler	2
22006	Aísa	2	En alquiler	En alquiler	10
22007	Albalate de Cinca	2	En alquiler	En alquiler	58
22008	Albalatillo	2	En alquiler	En alquiler	1
22009	Albelda	2	En alquiler	En alquiler	4
22011	Albero Alto	2	En alquiler	En alquiler	2
22012	Albero Bajo	2	En alquiler	En alquiler	1
22013	Alberuela de Tubo	2	En alquiler	En alquiler	8
22014	Alcalá de Gurrea	2	En alquiler	En alquiler	2
22015	Alcalá del Obispo	2	En alquiler	En alquiler	2
22016	Alcampell	2	En alquiler	En alquiler	4
22017	Alcolea de Cinca	2	En alquiler	En alquiler	17
22018	Alcubierre	2	En alquiler	En alquiler	8
22019	Alerre	2	En alquiler	En alquiler	1
22021	Almudévar	2	En alquiler	En alquiler	28
22022	Almunia de San Juan	2	En alquiler	En alquiler	2
22023	Almuniente	2	En alquiler	En alquiler	14
22024	Alquézar	2	En alquiler	En alquiler	4
22025	Altorricón	2	En alquiler	En alquiler	27
22027	Angüés	2	En alquiler	En alquiler	7
22028	Ansó	2	En alquiler	En alquiler	13
22032	Aragüés del Puerto	2	En alquiler	En alquiler	3
22035	Arén	2	En alquiler	En alquiler	7
22036	Argavieso	2	En alquiler	En alquiler	2
22039	Ayerbe	2	En alquiler	En alquiler	43
22040	Azanuy-Alins	2	En alquiler	En alquiler	4
22043	Baells	2	En alquiler	En alquiler	1
22044	Bailo	2	En alquiler	En alquiler	7
22046	Ballobar	2	En alquiler	En alquiler	10
22048	Barbastro	2	En alquiler	En alquiler	592
22049	Barbués	2	En alquiler	En alquiler	1
22052	Belver de Cinca	2	En alquiler	En alquiler	11
22053	Benabarre	2	En alquiler	En alquiler	38
22054	Benasque	2	En alquiler	En alquiler	112
22055	Berbegal	2	En alquiler	En alquiler	8
22057	Bielsa	2	En alquiler	En alquiler	5
22058	Bierge	2	En alquiler	En alquiler	3
22059	Biescas	2	En alquiler	En alquiler	45
22060	Binaced	2	En alquiler	En alquiler	23
22061	Binéfar	2	En alquiler	En alquiler	355
22062	Bisaurri	2	En alquiler	En alquiler	5
22063	Biscarrués	2	En alquiler	En alquiler	1
22064	Blecua y Torres	2	En alquiler	En alquiler	2
22066	Boltaña	2	En alquiler	En alquiler	44
22067	Bonansa	2	En alquiler	En alquiler	6
22069	Broto	2	En alquiler	En alquiler	14
22072	Caldearenas	2	En alquiler	En alquiler	11
22074	Campo	2	En alquiler	En alquiler	10
22075	Camporrells	2	En alquiler	En alquiler	9
22076	Canal de Berdún	2	En alquiler	En alquiler	7
22077	Candasnos	2	En alquiler	En alquiler	10
22078	Canfranc	2	En alquiler	En alquiler	38
22079	Capdesaso	2	En alquiler	En alquiler	3
22080	Capella	2	En alquiler	En alquiler	9
22081	Casbas de Huesca	2	En alquiler	En alquiler	1
22082	Castejón del Puente	2	En alquiler	En alquiler	3
22083	Castejón de Monegros	2	En alquiler	En alquiler	4
22084	Castejón de Sos	2	En alquiler	En alquiler	42
22085	Castelflorite	2	En alquiler	En alquiler	1
22086	Castiello de Jaca	2	En alquiler	En alquiler	3
22087	Castigaleu	2	En alquiler	En alquiler	2
22088	Castillazuelo	2	En alquiler	En alquiler	2
22089	Castillonroy	2	En alquiler	En alquiler	5
22090	Colungo	2	En alquiler	En alquiler	6
22096	Chimillas	2	En alquiler	En alquiler	3
22099	Esplús	2	En alquiler	En alquiler	11
22102	Estada	2	En alquiler	En alquiler	2
22103	Estadilla	2	En alquiler	En alquiler	11
22105	Estopiñán del Castillo	2	En alquiler	En alquiler	4
22106	Fago	2	En alquiler	En alquiler	2
22107	Fanlo	2	En alquiler	En alquiler	12
22109	Fiscal	2	En alquiler	En alquiler	3
22110	Fonz	2	En alquiler	En alquiler	27
22111	Foradada del Toscar	2	En alquiler	En alquiler	4
22112	Fraga	2	En alquiler	En alquiler	382
22113	Fueva (La)	2	En alquiler	En alquiler	7
22114	Gistaín	2	En alquiler	En alquiler	1
22115	Grado (El)	2	En alquiler	En alquiler	10
22116	Grañén	2	En alquiler	En alquiler	45
22117	Graus	2	En alquiler	En alquiler	100
22119	Gurrea de Gállego	2	En alquiler	En alquiler	16
22125	Huesca	2	En alquiler	En alquiler	1649
22126	Ibieca	2	En alquiler	En alquiler	1
22127	Igriés	2	En alquiler	En alquiler	3
22128	Ilche	2	En alquiler	En alquiler	1
22129	Isábena	2	En alquiler	En alquiler	2
22130	Jaca	2	En alquiler	En alquiler	647
22133	Labuerda	2	En alquiler	En alquiler	6
22135	Laluenga	2	En alquiler	En alquiler	4
22136	Lalueza	2	En alquiler	En alquiler	14
22137	Lanaja	2	En alquiler	En alquiler	15
22141	Lascellas-Ponzano	2	En alquiler	En alquiler	1
22142	Lascuarre	2	En alquiler	En alquiler	2
22143	Laspaúles	2	En alquiler	En alquiler	2
22144	Laspuña	2	En alquiler	En alquiler	3
22149	Loarre	2	En alquiler	En alquiler	3
22151	Loscorrales	2	En alquiler	En alquiler	1
22155	Monesma y Cajigar	2	En alquiler	En alquiler	1
22156	Monflorite-Lascasas	2	En alquiler	En alquiler	3
22157	Montanuy	2	En alquiler	En alquiler	3
22158	Monzón	2	En alquiler	En alquiler	469
22160	Naval	2	En alquiler	En alquiler	10
22162	Novales	2	En alquiler	En alquiler	2
22163	Nueno	2	En alquiler	En alquiler	3
22164	Olvena	2	En alquiler	En alquiler	1
22165	Ontiñena	2	En alquiler	En alquiler	9
22167	Osso de Cinca	2	En alquiler	En alquiler	28
22170	Panticosa	2	En alquiler	En alquiler	35
22172	Peñalba	2	En alquiler	En alquiler	19
22173	Peñas de Riglos (Las)	2	En alquiler	En alquiler	3
22174	Peralta de Alcofea	2	En alquiler	En alquiler	6
22175	Peralta de Calasanz	2	En alquiler	En alquiler	2
22176	Peraltilla	2	En alquiler	En alquiler	2
22177	Perarrúa	2	En alquiler	En alquiler	2
22178	Pertusa	2	En alquiler	En alquiler	2
22181	Piracés	2	En alquiler	En alquiler	1
22182	Plan	2	En alquiler	En alquiler	10
22186	Pozán de Vero	2	En alquiler	En alquiler	2
22187	Puebla de Castro (La)	2	En alquiler	En alquiler	5
22188	Puente de Montañana	2	En alquiler	En alquiler	2
22189	Puértolas	2	En alquiler	En alquiler	3
22193	Pueyo de Santa Cruz	2	En alquiler	En alquiler	2
22195	Quicena	2	En alquiler	En alquiler	6
22197	Robres	2	En alquiler	En alquiler	17
22199	Sabiñánigo	2	En alquiler	En alquiler	215
22200	Sahún	2	En alquiler	En alquiler	7
22202	Salas Bajas	2	En alquiler	En alquiler	1
22204	Sallent de Gállego	2	En alquiler	En alquiler	50
22205	San Esteban de Litera	2	En alquiler	En alquiler	6
22206	Sangarrén	2	En alquiler	En alquiler	7
22207	San Juan de Plan	2	En alquiler	En alquiler	4
22208	Santa Cilia	2	En alquiler	En alquiler	1
22209	Santa Cruz de la Serós	2	En alquiler	En alquiler	4
22212	Santaliestra y San Quílez	2	En alquiler	En alquiler	1
22213	Sariñena	2	En alquiler	En alquiler	85
22215	Seira	2	En alquiler	En alquiler	2
22217	Sena	2	En alquiler	En alquiler	17
22220	Sesa	2	En alquiler	En alquiler	2
22221	Sesué	2	En alquiler	En alquiler	3
22222	Siétamo	2	En alquiler	En alquiler	3
22223	Sopeira	2	En alquiler	En alquiler	1
22225	Tamarite de Litera	2	En alquiler	En alquiler	71
22226	Tardienta	2	En alquiler	En alquiler	44
22227	Tella-Sin	2	En alquiler	En alquiler	10
22228	Tierz	2	En alquiler	En alquiler	3
22229	Tolva	2	En alquiler	En alquiler	5
22230	Torla	2	En alquiler	En alquiler	6
22232	Torralba de Aragón	2	En alquiler	En alquiler	3
22233	Torre la Ribera	2	En alquiler	En alquiler	1
22234	Torrente de Cinca	2	En alquiler	En alquiler	15
22236	Torres de Barbués	2	En alquiler	En alquiler	9
22242	Valfarta	2	En alquiler	En alquiler	1
22244	Valle de Lierp	2	En alquiler	En alquiler	1
22245	Velilla de Cinca	2	En alquiler	En alquiler	12
22246	Veracruz	2	En alquiler	En alquiler	4
22248	Vicién	2	En alquiler	En alquiler	1
22249	Villanova	2	En alquiler	En alquiler	1
22250	Villanúa	2	En alquiler	En alquiler	10
22251	Villanueva de Sigena	2	En alquiler	En alquiler	7
22252	Yebra de Basa	2	En alquiler	En alquiler	1
22254	Zaidín	2	En alquiler	En alquiler	35
22901	Valle de Hecho	2	En alquiler	En alquiler	19
22902	Puente la Reina de Jaca	2	En alquiler	En alquiler	1
22903	San Miguel del Cinca	2	En alquiler	En alquiler	11
22904	Sotonera (La)	2	En alquiler	En alquiler	14
22905	Lupiñén-Ortilla	2	En alquiler	En alquiler	2
22906	Santa María de Dulcis	2	En alquiler	En alquiler	1
22907	Aínsa-Sobrarbe	2	En alquiler	En alquiler	48
