Año	Código del municipio	Nombre del municipio	Número total de explotaciones	Explotaciones sin tierras	Explotaciones con tierras labranza, pastos y otras	Explotaciones con tierras labranza y pastos	Explotaciones con tierras labranza y otras	Explotaciones con sólo tierras labranza	Explotaciones con pastos y otras tierras	Explotaciones con sólo pastos	Explotaciones con sólo otras tierras	Explotaciones con tierras
1989	44141	Lledó	61	0	0	0	53	7	0	0	1	61
1989	44142	Maicas	34	0	0	0	4	1	0	0	29	34
1989	44143	Manzanera	209	1	60	14	40	8	43	15	28	208
1989	44144	Martín del Río	115	0	0	1	57	42	3	0	12	115
1989	44145	Mas de las Matas	144	1	0	0	18	117	0	0	8	143
1989	44146	Mata de los Olmos (La)	58	1	1	0	17	31	1	1	6	57
1989	44147	Mazaleón	222	1	0	6	54	149	0	0	12	221
1989	44148	Mezquita de Jarque	30	1	0	0	2	24	2	0	1	29
1989	44149	Mirambel	42	1	14	12	6	4	1	0	4	41
1989	44150	Miravete de la Sierra	45	0	19	3	0	1	8	11	3	45
1989	44151	Molinos	109	1	10	1	76	16	2	0	3	108
1989	44152	Monforte de Moyuela	39	0	2	18	13	0	0	3	3	39
1989	44153	Monreal del Campo	281	1	2	8	23	230	1	4	12	280
1989	44154	Monroyo	133	0	10	0	99	1	2	0	21	133
1989	44155	Montalbán	146	2	27	4	40	15	28	4	26	144
1989	44156	Monteagudo del Castillo	38	0	3	23	0	4	2	4	2	38
1989	44157	Monterde de Albarracín	19	0	0	4	0	14	0	1	0	19
1989	44158	Mora de Rubielos	322	3	12	5	94	94	5	4	105	319
1989	44159	Moscardón	17	2	0	0	11	2	0	1	1	15
1989	44160	Mosqueruela	230	1	91	80	6	16	5	2	29	229
1989	44161	Muniesa	152	4	13	6	80	42	1	3	3	148
1989	44163	Noguera de Albarracín	48	1	0	1	10	13	1	1	21	47
1989	44164	Nogueras	16	0	0	5	5	0	1	0	5	16
1989	44165	Nogueruelas	124	1	15	23	7	21	14	37	6	123
1989	44167	Obón	89	0	0	0	28	3	1	0	57	89
1989	44168	Odón	82	1	33	3	34	8	0	1	2	81
1989	44169	Ojos Negros	92	2	0	1	33	47	1	1	7	90
1989	44171	Olba	310	0	52	1	24	2	140	2	89	310
1989	44172	Oliete	265	1	10	4	139	55	3	0	53	264
1989	44173	Olmos (Los)	77	0	2	13	27	28	1	0	6	77
1989	44174	Orihuela del Tremedal	44	3	0	0	4	31	1	0	5	41
1989	44175	Orrios	65	0	0	0	8	53	1	3	0	65
1989	44176	Palomar de Arroyos	55	0	1	11	26	7	0	3	7	55
1989	44177	Pancrudo	84	0	0	51	1	28	1	1	2	84
1989	44178	Parras de Castellote (Las)	41	0	0	0	13	21	1	0	6	41
1989	44179	Peñarroya de Tastavins	189	3	1	0	121	20	0	0	44	186
1989	44180	Peracense	19	0	0	0	16	1	1	0	1	19
1989	44181	Peralejos	30	0	0	0	4	23	3	0	0	30
1989	44182	Perales del Alfambra	106	0	0	0	57	18	1	1	29	106
1989	44183	Pitarque	101	0	21	5	1	2	35	13	24	101
1989	44184	Plou	20	0	0	0	10	8	1	1	0	20
1989	44185	Pobo (El)	60	3	1	29	0	24	2	1	0	57
1989	44187	Portellada (La)	70	0	4	0	59	3	0	0	4	70
1989	44189	Pozondón	36	0	0	0	25	5	1	1	4	36
1989	44190	Pozuel del Campo	26	0	0	0	13	8	0	1	4	26
1989	44191	Puebla de Híjar (La)	136	4	0	5	1	123	0	1	2	132
1989	44192	Puebla de Valverde (La)	294	3	32	62	12	39	57	83	6	291
1989	44193	Puertomingalvo	101	0	37	28	4	2	14	1	15	101
1989	44194	Ráfales	72	0	1	0	64	5	0	0	2	72
1989	44195	Rillo	33	0	0	11	1	18	1	0	2	33
1989	44196	Riodeva	282	0	81	0	0	0	196	3	2	282
1989	44197	Ródenas	41	0	1	1	22	15	0	1	1	41
1989	44198	Royuela	46	3	1	0	8	29	0	0	5	43
1989	44199	Rubiales	51	1	0	0	5	5	1	0	39	50
1989	44200	Rubielos de la Cérida	21	0	0	14	1	1	2	1	2	21
1989	44201	Rubielos de Mora	287	0	18	10	69	69	16	18	87	287
1989	44203	Salcedillo	6	1	0	0	0	2	0	0	3	5
1989	44204	Saldón	23	0	0	0	12	5	4	0	2	23
1989	44205	Samper de Calanda	214	10	3	9	83	102	2	1	4	204
1989	44206	San Agustín	190	0	94	1	16	4	69	1	5	190
