Comarca código	Comarca nombre	Calefacción (agregado)	Calefacción (detalle)	Combustible usado	Número hogares
23	Bajo Martín	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Electricidad	451
23	Bajo Martín	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del petróleo	86
23	Bajo Martín	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Madera	485
23	Bajo Martín	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del carbón	9
23	Bajo Martín	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Otros	25
23	Bajo Martín	Sin calefacción	Sin ningún medio	 No aplicable	302
24	Campo de Daroca	Con calefacción	Con calefacción colectiva	Gas	9
24	Campo de Daroca	Con calefacción	Con calefacción colectiva	Electricidad	6
24	Campo de Daroca	Con calefacción	Con calefacción colectiva	Derivados del petróleo	151
24	Campo de Daroca	Con calefacción	Con calefacción colectiva	Madera	11
24	Campo de Daroca	Con calefacción	Con calefacción individual	Gas	207
24	Campo de Daroca	Con calefacción	Con calefacción individual	Electricidad	103
24	Campo de Daroca	Con calefacción	Con calefacción individual	Derivados del petróleo	767
24	Campo de Daroca	Con calefacción	Con calefacción individual	Madera	131
24	Campo de Daroca	Con calefacción	Con calefacción individual	Derivados del carbón	7
24	Campo de Daroca	Con calefacción	Con calefacción individual	Otros	10
24	Campo de Daroca	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Gas	94
24	Campo de Daroca	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Electricidad	249
24	Campo de Daroca	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del petróleo	64
24	Campo de Daroca	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Madera	531
24	Campo de Daroca	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del carbón	5
24	Campo de Daroca	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Otros	7
24	Campo de Daroca	Sin calefacción	Sin ningún medio	 No aplicable	311
25	Jiloca	Con calefacción	Con calefacción colectiva	Gas	1
25	Jiloca	Con calefacción	Con calefacción colectiva	Electricidad	5
25	Jiloca	Con calefacción	Con calefacción colectiva	Derivados del petróleo	311
25	Jiloca	Con calefacción	Con calefacción colectiva	Madera	2
25	Jiloca	Con calefacción	Con calefacción individual	Gas	54
25	Jiloca	Con calefacción	Con calefacción individual	Electricidad	394
25	Jiloca	Con calefacción	Con calefacción individual	Derivados del petróleo	2043
25	Jiloca	Con calefacción	Con calefacción individual	Madera	170
25	Jiloca	Con calefacción	Con calefacción individual	Derivados del carbón	79
25	Jiloca	Con calefacción	Con calefacción individual	Otros	25
25	Jiloca	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Gas	96
25	Jiloca	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Electricidad	227
25	Jiloca	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del petróleo	38
25	Jiloca	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Madera	1809
25	Jiloca	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del carbón	41
25	Jiloca	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Otros	168
25	Jiloca	Sin calefacción	Sin ningún medio	 No aplicable	92
26	Cuencas Mineras	Con calefacción	Con calefacción colectiva	Gas	1
26	Cuencas Mineras	Con calefacción	Con calefacción colectiva	Electricidad	4
26	Cuencas Mineras	Con calefacción	Con calefacción colectiva	Derivados del petróleo	51
26	Cuencas Mineras	Con calefacción	Con calefacción colectiva	Madera	5
26	Cuencas Mineras	Con calefacción	Con calefacción colectiva	Derivados del carbón	16
26	Cuencas Mineras	Con calefacción	Con calefacción individual	Gas	135
26	Cuencas Mineras	Con calefacción	Con calefacción individual	Electricidad	232
26	Cuencas Mineras	Con calefacción	Con calefacción individual	Derivados del petróleo	1435
26	Cuencas Mineras	Con calefacción	Con calefacción individual	Madera	117
26	Cuencas Mineras	Con calefacción	Con calefacción individual	Derivados del carbón	458
26	Cuencas Mineras	Con calefacción	Con calefacción individual	Otros	5
26	Cuencas Mineras	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Gas	87
26	Cuencas Mineras	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Electricidad	261
26	Cuencas Mineras	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del petróleo	32
26	Cuencas Mineras	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Madera	360
26	Cuencas Mineras	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del carbón	115
26	Cuencas Mineras	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Otros	2
26	Cuencas Mineras	Sin calefacción	Sin ningún medio	 No aplicable	269
27	Andorra-Sierra de Arcos	Con calefacción	Con calefacción colectiva	Gas	25
27	Andorra-Sierra de Arcos	Con calefacción	Con calefacción colectiva	Electricidad	9
27	Andorra-Sierra de Arcos	Con calefacción	Con calefacción colectiva	Derivados del petróleo	172
27	Andorra-Sierra de Arcos	Con calefacción	Con calefacción colectiva	Madera	3
27	Andorra-Sierra de Arcos	Con calefacción	Con calefacción colectiva	Derivados del carbón	2
27	Andorra-Sierra de Arcos	Con calefacción	Con calefacción individual	Gas	194
27	Andorra-Sierra de Arcos	Con calefacción	Con calefacción individual	Electricidad	658
27	Andorra-Sierra de Arcos	Con calefacción	Con calefacción individual	Derivados del petróleo	776
27	Andorra-Sierra de Arcos	Con calefacción	Con calefacción individual	Madera	38
27	Andorra-Sierra de Arcos	Con calefacción	Con calefacción individual	Derivados del carbón	33
27	Andorra-Sierra de Arcos	Con calefacción	Con calefacción individual	Otros	9
27	Andorra-Sierra de Arcos	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Gas	197
27	Andorra-Sierra de Arcos	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Electricidad	1248
27	Andorra-Sierra de Arcos	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del petróleo	98
27	Andorra-Sierra de Arcos	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Madera	253
27	Andorra-Sierra de Arcos	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del carbón	46
27	Andorra-Sierra de Arcos	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Otros	16
27	Andorra-Sierra de Arcos	Sin calefacción	Sin ningún medio	 No aplicable	176
28	Bajo Aragón	Con calefacción	Con calefacción colectiva	Gas	152
28	Bajo Aragón	Con calefacción	Con calefacción colectiva	Electricidad	121
28	Bajo Aragón	Con calefacción	Con calefacción colectiva	Derivados del petróleo	293
28	Bajo Aragón	Con calefacción	Con calefacción colectiva	Madera	26
28	Bajo Aragón	Con calefacción	Con calefacción colectiva	Derivados del carbón	8
28	Bajo Aragón	Con calefacción	Con calefacción individual	Gas	2119
28	Bajo Aragón	Con calefacción	Con calefacción individual	Electricidad	1083
28	Bajo Aragón	Con calefacción	Con calefacción individual	Derivados del petróleo	2207
28	Bajo Aragón	Con calefacción	Con calefacción individual	Madera	338
28	Bajo Aragón	Con calefacción	Con calefacción individual	Derivados del carbón	22
28	Bajo Aragón	Con calefacción	Con calefacción individual	Otros	17
