Año	Comarca código	Comarca nombre	Urbana   Número de recibos	Urbana   Base imponible (miles de euros)	Urbana   Base liquidable (miles de euros)	Urbana   Cuota íntegra (euros)	Urbana   Cuota líquida (euros)
2012	23	Bajo Martín	8425	135393	132832	862176	807235
2012	24	Campo de Daroca	11314	173348	143481	812924	811035
2012	25	Jiloca	21535	324632	314472	2106815	2010963
2012	26	Cuencas Mineras	14063	191244	151289	1026812	970954
2012	27	Andorra-Sierra de Arcos	11530	365883	269288	1630770	1499271
2012	28	Bajo Aragón	30735	656755	617982	4800100	4544466
2012	29	Comunidad de Teruel	51801	1476313	1412455	9386761	8450843
2012	30	Maestrazgo	7105	97509	78413	426189	407073
2012	31	Sierra de Albarracín	10549	173058	146803	899367	859735
2012	32	Gúdar-Javalambre	22051	359836	305293	2048305	1917427
2012	33	Matarraña / Matarranya	10952	232832	204761	1447435	1345340
2013	01	La Jacetania	43754	2305462	1662703	9799233	9760129
2013	02	Alto Gállego	31421	1114168	847945	6509681	6454100
2013	03	Sobrarbe	10625	390717	244040	1929112	1928018
2013	04	La Ribagorza	21350	793322	586770	4194345	4183201
2013	05	Cinco Villas	31319	1161778	985299	6227495	6183174
2013	06	Hoya de Huesca / Plana de Uesca	69805	1952160	1917585	17805047	17641205
2013	07	Somontano de Barbastro	22836	615488	597569	5305168	5295771
2013	08	Cinca Medio	20060	438718	433436	4651336	4644856
2013	09	La Litera / La Llitera	15907	542094	387672	3479871	3469675
2013	10	Los Monegros	17014	393988	379181	2717970	2714982
2013	11	Bajo Cinca / Baix Cinca	17566	652743	423633	3468207	3467368
2013	12	Tarazona y el Moncayo	16968	256641	249233	2283793	2273583
2013	13	Campo de Borja	14076	238164	223030	1813502	1806755
2013	14	Aranda	9937	179886	151258	824704	761502
2013	15	Ribera Alta del Ebro	21460	1054250	974950	6279913	6236476
2013	16	Valdejalón	25989	1039768	851498	6176385	6127951
2013	17	D.C. Zaragoza	549600	42383239	27197585	180257012	177226868
2013	18	Ribera Baja del Ebro	8057	263105	223843	1183342	1176188
2013	19	Bajo Aragón-Caspe / Baix Aragó-Casp	13080	326565	293471	2315567	2162941
2013	20	Comunidad de Calatayud	51677	1072372	976807	6255387	6208727
2013	21	Campo de Cariñena	11132	240929	218135	1684823	1674448
2013	22	Campo de Belchite	6830	103499	79596	452734	452457
2013	23	Bajo Martín	8447	134721	134721	876521	838514
2013	24	Campo de Daroca	11236	178431	153191	885809	863786
2013	25	Jiloca	21698	321576	321576	2201596	2084196
2013	26	Cuencas Mineras	14093	179756	158743	1103785	1026237
2013	27	Andorra-Sierra de Arcos	11737	291341	291341	1788543	1639718
2013	28	Bajo Aragón	30885	638539	638539	4957551	4643267
2013	29	Comunidad de Teruel	52525	1481261	1454165	9684117	8728581
2013	30	Maestrazgo	7172	85430	82938	459771	426883
2013	31	Sierra de Albarracín	10646	167388	154392	968803	911548
2013	32	Gúdar-Javalambre	22310	346025	325975	2209637	2037645
2013	33	Matarraña / Matarranya	11111	215051	215051	1515214	1441606
2014	01	La Jacetania	43836	2331620	1812101	9622958	9575501
2014	02	Alto Gállego	31904	1138799	916399	6774489	6748527
2014	03	Sobrarbe	10795	405725	278237	2112042	2111569
