Comarca código	Comarca nombre	Corine Land Cover 2000 nivel 5 descripción	Superficie (has)	Año
06	Hoya de Huesca / Plana de Uesca	Mosaico de cultivos permanentes en regadío	0	2000
06	Hoya de Huesca / Plana de Uesca	Mosaico de cultivos permanentes en secano	705,687314	2000
06	Hoya de Huesca / Plana de Uesca	Mosaico de prados o praderas con espacios significativos de vegetación natural y semi-natural	92,730889	2000
06	Hoya de Huesca / Plana de Uesca	Olivares en regadío	0	2000
06	Hoya de Huesca / Plana de Uesca	Olivares en secano	0	2000
06	Hoya de Huesca / Plana de Uesca	Otras frondosas de plantación	54,550817	2000
06	Hoya de Huesca / Plana de Uesca	Otros frutales en regadío	41,256695	2000
06	Hoya de Huesca / Plana de Uesca	Otros pastizales mediterráneos	1345,115053	2000
06	Hoya de Huesca / Plana de Uesca	Pastizales supraforestales mediterráneos	0	2000
06	Hoya de Huesca / Plana de Uesca	Pastizales supraforestales templado-oceánicos, pirenaicos y orocantábricos	292,852641	2000
06	Hoya de Huesca / Plana de Uesca	Perennifolias	6424,652694	2000
06	Hoya de Huesca / Plana de Uesca	Prados y praderas	0	2000
06	Hoya de Huesca / Plana de Uesca	Ramblas con poca o sin vegetación	0	2000
06	Hoya de Huesca / Plana de Uesca	Resto de instalaciones deportivas y recreativas	54,863118	2000
06	Hoya de Huesca / Plana de Uesca	Rocas desnudas con fuerte pendiente (acantilados, etc.)	973,40085	2000
06	Hoya de Huesca / Plana de Uesca	Ríos y cauces naturales	787,450038	2000
06	Hoya de Huesca / Plana de Uesca	Tejido urbano continuo	890,426829	2000
06	Hoya de Huesca / Plana de Uesca	Tierras de labor en secano	107523,131389	2000
06	Hoya de Huesca / Plana de Uesca	Turberas y prados turbosos	0	2000
06	Hoya de Huesca / Plana de Uesca	Urbanizaciones extensas y/o ajardinadas	180,37568	2000
06	Hoya de Huesca / Plana de Uesca	Viñedos en regadío	0	2000
06	Hoya de Huesca / Plana de Uesca	Viñedos en secano	31,293962	2000
06	Hoya de Huesca / Plana de Uesca	Xeroestepa subdesértica	0	2000
06	Hoya de Huesca / Plana de Uesca	Zonas de extracción minera	28,65787	2000
06	Hoya de Huesca / Plana de Uesca	Zonas en construcción	0	2000
06	Hoya de Huesca / Plana de Uesca	Zonas industriales	250,812053	2000
06	Hoya de Huesca / Plana de Uesca	Zonas quemadas	0	2000
06	Hoya de Huesca / Plana de Uesca	Zonas verdes urbanas	28,249601	2000
07	Somontano de Barbastro	Aeropuertos	0	2000
07	Somontano de Barbastro	Afloramientos rocosos y canchales	0	2000
07	Somontano de Barbastro	Arrozales	59,178116	2000
07	Somontano de Barbastro	Autopistas, autovías y terrenos asociados	0	2000
07	Somontano de Barbastro	Bosque mixto	1231,669144	2000
07	Somontano de Barbastro	Bosques de coníferas con hojas aciculares	5627,462054	2000
07	Somontano de Barbastro	Bosques de coníferas con hojas de tipo cupresáceo	0	2000
07	Somontano de Barbastro	Bosques de ribera	443,080515	2000
07	Somontano de Barbastro	Caducifolias y marcescentes	595,273728	2000
07	Somontano de Barbastro	Campos de golf	0	2000
07	Somontano de Barbastro	Canales artificiales	0	2000
07	Somontano de Barbastro	Complejos ferroviarios	0	2000
